,Algorithm,Dataset,Number of Clusters,Eps,Min_Sample,Silhouette,Execution Time
70,DBScan,Trip Advisor,10,2.2,25,0.5129418585737335,0.09103099995991215
69,DBScan,Trip Advisor,10,2.2,24,0.5129418585737335,0.09170390001963824
72,DBScan,Trip Advisor,10,2.2,27,0.5129418585737335,0.09406370000215247
68,DBScan,Trip Advisor,10,2.2,23,0.5129418585737335,0.0949034999939613
71,DBScan,Trip Advisor,10,2.2,26,0.5129418585737335,0.09508170001208782
16,DBScan,Trip Advisor,10,2.0,21,0.5129418585737335,0.09994869999354705
49,DBScan,Trip Advisor,10,2.1,29,0.5129418585737335,0.10757669998565689
22,DBScan,Trip Advisor,10,2.0,27,0.5129418585737335,0.10758189996704459
67,DBScan,Trip Advisor,10,2.2,22,0.5129418585737335,0.11086570000043139
18,DBScan,Trip Advisor,10,2.0,23,0.5129418585737335,0.11724110000068322
47,DBScan,Trip Advisor,10,2.1,27,0.5129418585737335,0.11921189998975024
23,DBScan,Trip Advisor,10,2.0,28,0.5129418585737335,0.1204823000007309
48,DBScan,Trip Advisor,10,2.1,28,0.5129418585737335,0.12296780000906438
17,DBScan,Trip Advisor,10,2.0,22,0.5129418585737335,0.12807640002574772
40,DBScan,Trip Advisor,10,2.1,20,0.5129418585737335,0.12838030001148582
74,DBScan,Trip Advisor,10,2.2,29,0.5129418585737335,0.1285801000194624
42,DBScan,Trip Advisor,10,2.1,22,0.5129418585737335,0.13021769997430965
19,DBScan,Trip Advisor,10,2.0,24,0.5129418585737335,0.13240480003878474
39,DBScan,Trip Advisor,10,2.1,19,0.5129418585737335,0.1324087000102736
24,DBScan,Trip Advisor,10,2.0,29,0.5129418585737335,0.13414270000066608
41,DBScan,Trip Advisor,10,2.1,21,0.5129418585737335,0.13542369997594506
73,DBScan,Trip Advisor,10,2.2,28,0.5129418585737335,0.1363270000438206
21,DBScan,Trip Advisor,10,2.0,26,0.5129418585737335,0.13699809997342527
44,DBScan,Trip Advisor,10,2.1,24,0.5129418585737335,0.13856140000279993
45,DBScan,Trip Advisor,10,2.1,25,0.5129418585737335,0.140627000015229
46,DBScan,Trip Advisor,10,2.1,26,0.5129418585737335,0.15519679995486513
43,DBScan,Trip Advisor,10,2.1,23,0.5129418585737335,0.156126799993217
15,DBScan,Trip Advisor,10,2.0,20,0.5129418585737335,0.16980480001075193
14,DBScan,Trip Advisor,10,2.0,19,0.5129418585737335,0.177173399948515
20,DBScan,Trip Advisor,10,2.0,25,0.5129418585737335,0.19378309999592602
775,DBScan,Trip Advisor,10,5.100000000000003,5,,0.03147090005222708
975,DBScan,Trip Advisor,10,5.900000000000004,5,,0.032926300016697496
837,DBScan,Trip Advisor,10,5.3000000000000025,17,,0.03310060000512749
715,DBScan,Trip Advisor,10,4.8000000000000025,20,,0.0348175999824889
992,DBScan,Trip Advisor,10,5.900000000000004,22,,0.03524040000047535
758,DBScan,Trip Advisor,10,5.000000000000003,13,,0.03604710003128275
808,DBScan,Trip Advisor,10,5.200000000000003,13,,0.03639149997616187
774,DBScan,Trip Advisor,10,5.000000000000003,29,,0.038433399982750416
800,DBScan,Trip Advisor,10,5.200000000000003,5,,0.03865399997448549
946,DBScan,Trip Advisor,10,5.700000000000003,26,,0.03906690003350377
580,DBScan,Trip Advisor,10,4.3000000000000025,10,,0.03974660002859309
993,DBScan,Trip Advisor,10,5.900000000000004,23,,0.03976439998950809
984,DBScan,Trip Advisor,10,5.900000000000004,14,,0.03985549998469651
782,DBScan,Trip Advisor,10,5.100000000000003,12,,0.04089469998143613
829,DBScan,Trip Advisor,10,5.3000000000000025,9,,0.04111420002300292
776,DBScan,Trip Advisor,10,5.100000000000003,6,,0.041176000027917325
735,DBScan,Trip Advisor,10,4.900000000000002,15,,0.04136339999968186
642,DBScan,Trip Advisor,10,4.500000000000002,22,,0.041644199984148145
698,DBScan,Trip Advisor,10,4.700000000000003,28,,0.04179600003408268
854,DBScan,Trip Advisor,10,5.400000000000003,9,,0.04224350000731647
