,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
0,IMCKDE,Trip Advisor,2,0.5,0.5,,,
1,IMCKDE,Trip Advisor,3,0.5,0.5,,,
2,IMCKDE,Trip Advisor,4,0.5,0.5,,,
3,IMCKDE,Trip Advisor,5,0.5,0.5,,,
4,IMCKDE,Trip Advisor,6,0.5,0.5,,,
5,IMCKDE,Trip Advisor,7,0.5,0.5,,,
6,IMCKDE,Trip Advisor,8,0.5,0.5,,,
7,IMCKDE,Trip Advisor,9,0.5,0.5,,,
8,IMCKDE,Trip Advisor,10,0.5,0.5,,,
9,IMCKDE,Trip Advisor,2,0.6,0.5,,,
10,IMCKDE,Trip Advisor,3,0.6,0.5,,,
11,IMCKDE,Trip Advisor,4,0.6,0.5,,,
12,IMCKDE,Trip Advisor,5,0.6,0.5,,,
13,IMCKDE,Trip Advisor,6,0.6,0.5,,,
14,IMCKDE,Trip Advisor,7,0.6,0.5,,,
15,IMCKDE,Trip Advisor,8,0.6,0.5,,,
16,IMCKDE,Trip Advisor,9,0.6,0.5,,,
17,IMCKDE,Trip Advisor,10,0.6,0.5,,,
18,IMCKDE,Trip Advisor,2,0.7,0.5,,,
19,IMCKDE,Trip Advisor,3,0.7,0.5,,,
20,IMCKDE,Trip Advisor,4,0.7,0.5,,,
21,IMCKDE,Trip Advisor,5,0.7,0.5,,,
22,IMCKDE,Trip Advisor,6,0.7,0.5,,,
23,IMCKDE,Trip Advisor,7,0.7,0.5,,,
24,IMCKDE,Trip Advisor,8,0.7,0.5,,,
25,IMCKDE,Trip Advisor,9,0.7,0.5,,,
26,IMCKDE,Trip Advisor,10,0.7,0.5,,,
27,IMCKDE,Trip Advisor,2,0.7999999999999999,0.5,,,
28,IMCKDE,Trip Advisor,3,0.7999999999999999,0.5,,,
29,IMCKDE,Trip Advisor,4,0.7999999999999999,0.5,,,
30,IMCKDE,Trip Advisor,5,0.7999999999999999,0.5,,,
31,IMCKDE,Trip Advisor,6,0.7999999999999999,0.5,,,
32,IMCKDE,Trip Advisor,7,0.7999999999999999,0.5,,,
33,IMCKDE,Trip Advisor,8,0.7999999999999999,0.5,,,
34,IMCKDE,Trip Advisor,9,0.7999999999999999,0.5,,,
35,IMCKDE,Trip Advisor,10,0.7999999999999999,0.5,,,
36,IMCKDE,Trip Advisor,2,0.8999999999999999,0.5,,,
37,IMCKDE,Trip Advisor,3,0.8999999999999999,0.5,,,
38,IMCKDE,Trip Advisor,4,0.8999999999999999,0.5,,,
39,IMCKDE,Trip Advisor,5,0.8999999999999999,0.5,,,
40,IMCKDE,Trip Advisor,6,0.8999999999999999,0.5,,,
41,IMCKDE,Trip Advisor,7,0.8999999999999999,0.5,,,
42,IMCKDE,Trip Advisor,8,0.8999999999999999,0.5,,,
43,IMCKDE,Trip Advisor,9,0.8999999999999999,0.5,,,
44,IMCKDE,Trip Advisor,10,0.8999999999999999,0.5,,,
45,IMCKDE,Trip Advisor,2,0.9999999999999999,0.5,,,
46,IMCKDE,Trip Advisor,3,0.9999999999999999,0.5,,,
47,IMCKDE,Trip Advisor,4,0.9999999999999999,0.5,,,
48,IMCKDE,Trip Advisor,5,0.9999999999999999,0.5,,,
49,IMCKDE,Trip Advisor,6,0.9999999999999999,0.5,,,
50,IMCKDE,Trip Advisor,7,0.9999999999999999,0.5,,,
51,IMCKDE,Trip Advisor,8,0.9999999999999999,0.5,,,
52,IMCKDE,Trip Advisor,9,0.9999999999999999,0.5,,,
53,IMCKDE,Trip Advisor,10,0.9999999999999999,0.5,,,
54,IMCKDE,Trip Advisor,2,1.0999999999999999,0.5,,,
55,IMCKDE,Trip Advisor,3,1.0999999999999999,0.5,,,
56,IMCKDE,Trip Advisor,4,1.0999999999999999,0.5,,,
57,IMCKDE,Trip Advisor,5,1.0999999999999999,0.5,,,
58,IMCKDE,Trip Advisor,6,1.0999999999999999,0.5,,,
59,IMCKDE,Trip Advisor,7,1.0999999999999999,0.5,,,
60,IMCKDE,Trip Advisor,8,1.0999999999999999,0.5,,,
61,IMCKDE,Trip Advisor,9,1.0999999999999999,0.5,,,
62,IMCKDE,Trip Advisor,10,1.0999999999999999,0.5,,,
63,IMCKDE,Trip Advisor,2,1.1999999999999997,0.5,,,
64,IMCKDE,Trip Advisor,3,1.1999999999999997,0.5,,,
65,IMCKDE,Trip Advisor,4,1.1999999999999997,0.5,,,
66,IMCKDE,Trip Advisor,5,1.1999999999999997,0.5,,,
67,IMCKDE,Trip Advisor,6,1.1999999999999997,0.5,,,
68,IMCKDE,Trip Advisor,7,1.1999999999999997,0.5,,,
69,IMCKDE,Trip Advisor,8,1.1999999999999997,0.5,,,
70,IMCKDE,Trip Advisor,9,1.1999999999999997,0.5,,,
71,IMCKDE,Trip Advisor,10,1.1999999999999997,0.5,,,
72,IMCKDE,Trip Advisor,2,1.2999999999999998,0.5,,,
73,IMCKDE,Trip Advisor,3,1.2999999999999998,0.5,,,
74,IMCKDE,Trip Advisor,4,1.2999999999999998,0.5,,,
75,IMCKDE,Trip Advisor,5,1.2999999999999998,0.5,,,
76,IMCKDE,Trip Advisor,6,1.2999999999999998,0.5,,,
77,IMCKDE,Trip Advisor,7,1.2999999999999998,0.5,,,
78,IMCKDE,Trip Advisor,8,1.2999999999999998,0.5,,,
79,IMCKDE,Trip Advisor,9,1.2999999999999998,0.5,,,
80,IMCKDE,Trip Advisor,10,1.2999999999999998,0.5,,,
81,IMCKDE,Trip Advisor,2,1.4,0.5,,,
82,IMCKDE,Trip Advisor,3,1.4,0.5,,,
83,IMCKDE,Trip Advisor,4,1.4,0.5,,,
84,IMCKDE,Trip Advisor,5,1.4,0.5,,,
85,IMCKDE,Trip Advisor,6,1.4,0.5,,,
86,IMCKDE,Trip Advisor,7,1.4,0.5,,,
87,IMCKDE,Trip Advisor,8,1.4,0.5,,,
88,IMCKDE,Trip Advisor,9,1.4,0.5,,,
89,IMCKDE,Trip Advisor,10,1.4,0.5,,,
90,IMCKDE,Trip Advisor,2,1.4999999999999998,0.5,,,
91,IMCKDE,Trip Advisor,3,1.4999999999999998,0.5,,,
92,IMCKDE,Trip Advisor,4,1.4999999999999998,0.5,,,
93,IMCKDE,Trip Advisor,5,1.4999999999999998,0.5,,,
94,IMCKDE,Trip Advisor,6,1.4999999999999998,0.5,,,
95,IMCKDE,Trip Advisor,7,1.4999999999999998,0.5,,,
96,IMCKDE,Trip Advisor,8,1.4999999999999998,0.5,,,
97,IMCKDE,Trip Advisor,9,1.4999999999999998,0.5,,,
98,IMCKDE,Trip Advisor,10,1.4999999999999998,0.5,,,
99,IMCKDE,Trip Advisor,2,1.5999999999999996,0.5,,,
100,IMCKDE,Trip Advisor,3,1.5999999999999996,0.5,,,
101,IMCKDE,Trip Advisor,4,1.5999999999999996,0.5,,,
102,IMCKDE,Trip Advisor,5,1.5999999999999996,0.5,,,
103,IMCKDE,Trip Advisor,6,1.5999999999999996,0.5,,,
104,IMCKDE,Trip Advisor,7,1.5999999999999996,0.5,,,
105,IMCKDE,Trip Advisor,8,1.5999999999999996,0.5,,,
106,IMCKDE,Trip Advisor,9,1.5999999999999996,0.5,,,
107,IMCKDE,Trip Advisor,10,1.5999999999999996,0.5,,,
108,IMCKDE,Trip Advisor,2,1.6999999999999997,0.5,,,
109,IMCKDE,Trip Advisor,3,1.6999999999999997,0.5,,,
110,IMCKDE,Trip Advisor,4,1.6999999999999997,0.5,,,
111,IMCKDE,Trip Advisor,5,1.6999999999999997,0.5,,,
112,IMCKDE,Trip Advisor,6,1.6999999999999997,0.5,,,
113,IMCKDE,Trip Advisor,7,1.6999999999999997,0.5,,,
114,IMCKDE,Trip Advisor,8,1.6999999999999997,0.5,,,
115,IMCKDE,Trip Advisor,9,1.6999999999999997,0.5,,,
116,IMCKDE,Trip Advisor,10,1.6999999999999997,0.5,,,
117,IMCKDE,Trip Advisor,2,1.7999999999999998,0.5,,,
118,IMCKDE,Trip Advisor,3,1.7999999999999998,0.5,,,
119,IMCKDE,Trip Advisor,4,1.7999999999999998,0.5,,,
120,IMCKDE,Trip Advisor,5,1.7999999999999998,0.5,,,
121,IMCKDE,Trip Advisor,6,1.7999999999999998,0.5,,,
122,IMCKDE,Trip Advisor,7,1.7999999999999998,0.5,,,
123,IMCKDE,Trip Advisor,8,1.7999999999999998,0.5,,,
124,IMCKDE,Trip Advisor,9,1.7999999999999998,0.5,,,
125,IMCKDE,Trip Advisor,10,1.7999999999999998,0.5,,,
126,IMCKDE,Trip Advisor,2,1.8999999999999997,0.5,,,
127,IMCKDE,Trip Advisor,3,1.8999999999999997,0.5,,,
128,IMCKDE,Trip Advisor,4,1.8999999999999997,0.5,,,
129,IMCKDE,Trip Advisor,5,1.8999999999999997,0.5,,,
130,IMCKDE,Trip Advisor,6,1.8999999999999997,0.5,,,
131,IMCKDE,Trip Advisor,7,1.8999999999999997,0.5,,,
132,IMCKDE,Trip Advisor,8,1.8999999999999997,0.5,,,
133,IMCKDE,Trip Advisor,9,1.8999999999999997,0.5,,,
134,IMCKDE,Trip Advisor,10,1.8999999999999997,0.5,,,
135,IMCKDE,Trip Advisor,2,1.9999999999999996,0.5,,,
136,IMCKDE,Trip Advisor,3,1.9999999999999996,0.5,,,
137,IMCKDE,Trip Advisor,4,1.9999999999999996,0.5,,,
138,IMCKDE,Trip Advisor,5,1.9999999999999996,0.5,,,
139,IMCKDE,Trip Advisor,6,1.9999999999999996,0.5,,,
140,IMCKDE,Trip Advisor,7,1.9999999999999996,0.5,,,
141,IMCKDE,Trip Advisor,8,1.9999999999999996,0.5,,,
142,IMCKDE,Trip Advisor,9,1.9999999999999996,0.5,,,
143,IMCKDE,Trip Advisor,10,1.9999999999999996,0.5,,,
144,IMCKDE,Trip Advisor,2,2.0999999999999996,0.5,,,
145,IMCKDE,Trip Advisor,3,2.0999999999999996,0.5,,,
146,IMCKDE,Trip Advisor,4,2.0999999999999996,0.5,,,
147,IMCKDE,Trip Advisor,5,2.0999999999999996,0.5,,,
148,IMCKDE,Trip Advisor,6,2.0999999999999996,0.5,,,
149,IMCKDE,Trip Advisor,7,2.0999999999999996,0.5,,,
150,IMCKDE,Trip Advisor,8,2.0999999999999996,0.5,,,
151,IMCKDE,Trip Advisor,9,2.0999999999999996,0.5,,,
152,IMCKDE,Trip Advisor,10,2.0999999999999996,0.5,,,
