,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
125,IMCKDE,Trip Advisor,2,7.0,4.5,,0.442436095053728,0.6625655999996525
111,IMCKDE,Trip Advisor,2,7.0,4.0,,0.442436095053728,0.803740100000141
124,IMCKDE,Trip Advisor,2,6.5,4.5,,0.4317332761714281,0.6747029999969527
123,IMCKDE,Trip Advisor,2,6.0,4.5,,0.4219196226548066,0.7446223000006285
107,IMCKDE,Trip Advisor,2,5.0,4.0,,0.2986769269507589,1.0255570000008447
95,IMCKDE,Trip Advisor,2,6.0,3.5,,0.2958832014017074,0.7588883999997051
94,IMCKDE,Trip Advisor,2,5.5,3.5,,0.2949225744354658,1.2231017999984033
83,IMCKDE,Trip Advisor,2,7.0,3.0,,0.29489137189118875,0.8012806000006094
82,IMCKDE,Trip Advisor,2,6.5,3.0,,0.29314914322297697,0.8260034999984782
96,IMCKDE,Trip Advisor,2,6.5,3.5,,0.28673492981617343,0.7926861999985704
122,IMCKDE,Trip Advisor,2,5.5,4.5,,0.28652480778511125,0.9154118000005838
108,IMCKDE,Trip Advisor,2,5.5,4.0,,0.2854820726160169,0.8989627000009932
121,IMCKDE,Trip Advisor,2,5.0,4.5,,0.28470455200496125,1.2126752000003762
66,IMCKDE,Trip Advisor,2,5.5,2.5,,0.28353581443417686,1.2155364000027475
97,IMCKDE,Trip Advisor,2,7.0,3.5,,0.28311132086463386,0.6441560999992362
109,IMCKDE,Trip Advisor,2,6.0,4.0,,0.28283302110473757,0.6859456000020145
110,IMCKDE,Trip Advisor,2,6.5,4.0,,0.2805836954384457,0.8113616999980877
93,IMCKDE,Trip Advisor,2,5.0,3.5,,0.27950390526243285,1.2519239999965066
67,IMCKDE,Trip Advisor,2,6.0,2.5,,0.26368362122837186,0.8865646999984165
68,IMCKDE,Trip Advisor,2,6.5,2.5,,0.25295465023543295,0.9184596999984933
69,IMCKDE,Trip Advisor,2,7.0,2.5,,0.2513288738634945,0.9323002999990422
79,IMCKDE,Trip Advisor,2,5.0,3.0,,0.24585480356965927,1.1853738999998313
80,IMCKDE,Trip Advisor,2,5.5,3.0,,0.24119550527173397,1.0263537999999244
65,IMCKDE,Trip Advisor,2,5.0,2.5,,0.24047432415648715,1.3037814999988768
54,IMCKDE,Trip Advisor,2,6.5,2.0,,0.23457129422322176,1.9753882000004523
81,IMCKDE,Trip Advisor,2,6.0,3.0,,0.23004678282287502,0.6694880000031844
55,IMCKDE,Trip Advisor,2,7.0,2.0,,0.2279886106481425,1.8838551999979245
92,IMCKDE,Trip Advisor,2,4.5,3.5,,0.22760983317567565,0.9531879999994999
53,IMCKDE,Trip Advisor,2,6.0,2.0,,0.2253428794225045,1.7851703999986057
52,IMCKDE,Trip Advisor,2,5.5,2.0,,0.22379850325834227,2.27956720000293
117,IMCKDE,Trip Advisor,2,3.0,4.5,,0.22329516815679956,1.310135600000649
90,IMCKDE,Trip Advisor,2,3.5,3.5,,0.22290411467736418,3.386461500002042
105,IMCKDE,Trip Advisor,2,4.0,4.0,,0.21657345035587625,0.7584241999975347
103,IMCKDE,Trip Advisor,2,3.0,4.0,,0.2128008843809615,1.7350353000001633
76,IMCKDE,Trip Advisor,2,3.5,3.0,,0.18808677185850492,2.225894100000005
63,IMCKDE,Trip Advisor,2,4.0,2.5,,0.18658335693553496,1.7320370999987063
62,IMCKDE,Trip Advisor,2,3.5,2.5,,0.18629338845322405,2.919603800000914
64,IMCKDE,Trip Advisor,2,4.5,2.5,,0.18458971098927346,1.060257900000579
77,IMCKDE,Trip Advisor,2,4.0,3.0,,0.18202073530009616,0.9679443999993964
51,IMCKDE,Trip Advisor,2,5.0,2.0,,0.18103956202560187,2.9541776000005484
104,IMCKDE,Trip Advisor,2,3.5,4.0,,0.17724218216296925,1.402572399998462
49,IMCKDE,Trip Advisor,2,4.0,2.0,,0.16410877872377488,5.624735299999884
119,IMCKDE,Trip Advisor,2,4.0,4.5,,0.1639215279176315,0.7454670000006445
41,IMCKDE,Trip Advisor,2,7.0,1.5,,0.16177601958392035,1.7006437000018195
40,IMCKDE,Trip Advisor,2,6.5,1.5,,0.16079458382658,2.157573600001342
18,IMCKDE,Trip Advisor,2,2.5,1.0,,0.16044475528281102,308.7009928000007
50,IMCKDE,Trip Advisor,2,4.5,2.0,,0.1593260743531659,3.8671986000008474
36,IMCKDE,Trip Advisor,2,4.5,1.5,,0.15584495691131373,5.730350800000451
19,IMCKDE,Trip Advisor,2,3.0,1.0,,0.15477217021109227,121.04965050000101
116,IMCKDE,Trip Advisor,2,2.5,4.5,,0.1494382248302708,1.294772400000511
39,IMCKDE,Trip Advisor,2,6.0,1.5,,0.14923822161483213,2.4529680000014196
38,IMCKDE,Trip Advisor,2,5.5,1.5,,0.14830205338719069,2.8923214999995253
31,IMCKDE,Trip Advisor,2,2.0,1.5,,0.14531848363897137,287.3618065999981
20,IMCKDE,Trip Advisor,2,3.5,1.0,,0.14344396425766015,50.92124120000153
32,IMCKDE,Trip Advisor,2,2.5,1.5,,0.14096093188674277,110.13592159999826
89,IMCKDE,Trip Advisor,2,3.0,3.5,,0.13925863248833437,1.235822399998142
102,IMCKDE,Trip Advisor,2,2.5,4.0,,0.1334427059626748,2.0871796999999788
44,IMCKDE,Trip Advisor,2,1.5,2.0,,0.13292512324845837,186.6454369000021
58,IMCKDE,Trip Advisor,2,1.5,2.5,,0.1320479218274989,99.03173940000124
23,IMCKDE,Trip Advisor,2,5.0,1.0,,0.13175467964254614,10.592036899997765
17,IMCKDE,Trip Advisor,2,2.0,1.0,,0.13038175510693795,436.86061569999947
72,IMCKDE,Trip Advisor,2,1.5,3.0,,0.13007931479943066,53.93208349999986
21,IMCKDE,Trip Advisor,2,4.0,1.0,,0.1293299345383715,25.759547300000122
4,IMCKDE,Trip Advisor,2,2.5,0.5,,0.12823002619342638,533.3340287999999
88,IMCKDE,Trip Advisor,2,2.5,3.5,,0.12658445839906646,2.21876169999814
34,IMCKDE,Trip Advisor,2,3.5,1.5,,0.12657110971133956,13.755776099998911
48,IMCKDE,Trip Advisor,2,3.5,2.0,,0.12595314069036562,8.47573310000007
45,IMCKDE,Trip Advisor,2,2.0,2.0,,0.12570416118252564,203.57615209999858
74,IMCKDE,Trip Advisor,2,2.5,3.0,,0.12454634175386228,4.234016400001565
61,IMCKDE,Trip Advisor,2,3.0,2.5,,0.1243344461385913,3.940511900000274
22,IMCKDE,Trip Advisor,2,4.5,1.0,,0.12332929372535373,13.596939800001564
26,IMCKDE,Trip Advisor,2,6.5,1.0,,0.12282249957038154,6.1203836999993655
24,IMCKDE,Trip Advisor,2,5.5,1.0,,0.12274163110259893,16.476372600001923
37,IMCKDE,Trip Advisor,2,5.0,1.5,,0.12229639677390823,3.886281200000667
33,IMCKDE,Trip Advisor,2,3.0,1.5,,0.12228722374088764,30.219061600000714
25,IMCKDE,Trip Advisor,2,6.0,1.0,,0.12079779083347905,9.829799099999946
27,IMCKDE,Trip Advisor,2,7.0,1.0,,0.12038827864855578,6.033083899998019
75,IMCKDE,Trip Advisor,2,3.0,3.0,,0.12035812146486834,1.5912661000002117
113,IMCKDE,Trip Advisor,2,1.0,4.5,,0.11749499215604156,17.204920899999706
30,IMCKDE,Trip Advisor,2,1.5,1.5,,0.11728139152520027,190.1779346000003
120,IMCKDE,Trip Advisor,2,4.5,4.5,,0.11672476790261778,0.6476019000001543
35,IMCKDE,Trip Advisor,2,4.0,1.5,,0.11625657081567004,6.690870200000063
60,IMCKDE,Trip Advisor,2,2.5,2.5,,0.11585916766698034,7.023580400000355
99,IMCKDE,Trip Advisor,2,1.0,4.0,,0.11421301628689373,17.28008410000257
3,IMCKDE,Trip Advisor,2,2.0,0.5,,0.11333294649643609,771.6786580000007
47,IMCKDE,Trip Advisor,2,3.0,2.0,,0.11306993752840909,21.847279600002366
106,IMCKDE,Trip Advisor,2,4.5,4.0,,0.10879465005383088,0.6469266999993124
86,IMCKDE,Trip Advisor,2,1.5,3.5,,0.10789552476739231,24.540630700001202
85,IMCKDE,Trip Advisor,2,1.0,3.5,,0.10780339637395811,19.06778149999809
46,IMCKDE,Trip Advisor,2,2.5,2.0,,0.10603436902513919,43.52642080000078
71,IMCKDE,Trip Advisor,2,1.0,3.0,,0.10579699369949469,19.8719740000015
73,IMCKDE,Trip Advisor,2,2.0,3.0,,0.10501995055318042,12.700126399999135
59,IMCKDE,Trip Advisor,2,2.0,2.5,,0.09931965349984184,29.585395599999174
57,IMCKDE,Trip Advisor,2,1.0,2.5,,0.09889134397805895,38.1768951999984
87,IMCKDE,Trip Advisor,2,2.0,3.5,,0.0987130097705585,7.954771900000196
16,IMCKDE,Trip Advisor,2,1.5,1.0,,0.0981482299606459,211.91348659999858
2,IMCKDE,Trip Advisor,2,1.5,0.5,,0.09670606292951377,365.8889170000002
101,IMCKDE,Trip Advisor,2,2.0,4.0,,0.09451351085890525,3.0917824000025576
43,IMCKDE,Trip Advisor,2,1.0,2.0,,0.0937875381584791,31.7772999000008
115,IMCKDE,Trip Advisor,2,2.0,4.5,,0.08932368269279817,2.469999299999472
29,IMCKDE,Trip Advisor,2,1.0,1.5,,0.0853488548987195,31.408360999997967
15,IMCKDE,Trip Advisor,2,1.0,1.0,,0.08171365613699529,37.54034479999973
100,IMCKDE,Trip Advisor,2,1.5,4.0,,0.08002831109392929,16.50690200000099
1,IMCKDE,Trip Advisor,2,1.0,0.5,,0.0795524129474785,58.32780580000326
98,IMCKDE,Trip Advisor,2,0.5,4.0,,0.0783930907899227,11.704747700001462
112,IMCKDE,Trip Advisor,2,0.5,4.5,,0.0783930907899227,12.083521600001404
84,IMCKDE,Trip Advisor,2,0.5,3.5,,0.07800460782752817,14.34015670000008
70,IMCKDE,Trip Advisor,2,0.5,3.0,,0.07755101866551813,12.894083399998635
28,IMCKDE,Trip Advisor,2,0.5,1.5,,0.07755101866551813,19.242322800000693
42,IMCKDE,Trip Advisor,2,0.5,2.0,,0.07755101866551813,19.449055099998077
56,IMCKDE,Trip Advisor,2,0.5,2.5,,0.07755101866551813,22.509539799997583
14,IMCKDE,Trip Advisor,2,0.5,1.0,,0.07755101866551813,27.840582700002415
0,IMCKDE,Trip Advisor,2,0.5,0.5,,0.07755101866551813,36.43258799999967
114,IMCKDE,Trip Advisor,2,1.5,4.5,,0.0676718931971507,12.142695400001685
5,IMCKDE,Trip Advisor,2,3.0,0.5,,0.05870190061812794,665.4113390999992
91,IMCKDE,Trip Advisor,2,4.0,3.5,,0.04414702591415171,1.4764022000017576
78,IMCKDE,Trip Advisor,2,4.5,3.0,,0.03638712866901728,0.7188824999975623
118,IMCKDE,Trip Advisor,2,3.5,4.5,,0.02218640909264813,1.4654912000005424
6,IMCKDE,Trip Advisor,2,3.5,0.5,,-0.03469864614206194,710.0464905000008
8,IMCKDE,Trip Advisor,2,4.5,0.5,,-0.0837653338480568,716.7938190999994
10,IMCKDE,Trip Advisor,2,5.5,0.5,,-0.08462122014883253,1161.7183091000006
7,IMCKDE,Trip Advisor,2,4.0,0.5,,-0.08830410314755188,813.1238025999992
12,IMCKDE,Trip Advisor,2,6.5,0.5,,-0.10030627143215078,834.2276161000009
9,IMCKDE,Trip Advisor,2,5.0,0.5,,-0.10545005784685064,1154.6626843999984
11,IMCKDE,Trip Advisor,2,6.0,0.5,,-0.1120835114092215,1001.4944902999996
13,IMCKDE,Trip Advisor,2,7.0,0.5,,-0.11797362027223283,594.6631796000001
