,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
5028,IMCKDE,Trip Advisor,8,7.299999999999999,4.0,,0.442436095053728,0.8258048000279814
4996,IMCKDE,Trip Advisor,3,6.999999999999998,4.0,,0.442436095053728,0.875365599989891
4995,IMCKDE,Trip Advisor,2,6.999999999999998,4.0,,0.442436095053728,0.9307126000057906
5026,IMCKDE,Trip Advisor,6,7.299999999999999,4.0,,0.442436095053728,0.9378773000789806
5027,IMCKDE,Trip Advisor,7,7.299999999999999,4.0,,0.442436095053728,0.9610858000814915
5011,IMCKDE,Trip Advisor,9,7.099999999999999,4.0,,0.442436095053728,0.964541899971664
4998,IMCKDE,Trip Advisor,5,6.999999999999998,4.0,,0.442436095053728,0.9775325000518933
5022,IMCKDE,Trip Advisor,2,7.299999999999999,4.0,,0.442436095053728,0.9830152000067756
5039,IMCKDE,Trip Advisor,10,7.399999999999999,4.0,,0.442436095053728,0.9864579000277445
5025,IMCKDE,Trip Advisor,5,7.299999999999999,4.0,,0.442436095053728,0.987057099933736
5005,IMCKDE,Trip Advisor,3,7.099999999999999,4.0,,0.442436095053728,1.0031086000381038
5007,IMCKDE,Trip Advisor,5,7.099999999999999,4.0,,0.442436095053728,1.0097699000034481
5013,IMCKDE,Trip Advisor,2,7.199999999999998,4.0,,0.442436095053728,1.0158717000158504
5641,IMCKDE,Trip Advisor,9,7.099999999999999,4.5,,0.442436095053728,1.0180860999971628
5019,IMCKDE,Trip Advisor,8,7.199999999999998,4.0,,0.442436095053728,1.041086500044912
5635,IMCKDE,Trip Advisor,3,7.099999999999999,4.5,,0.442436095053728,1.0469252000330016
5010,IMCKDE,Trip Advisor,8,7.099999999999999,4.0,,0.442436095053728,1.0550120000261813
5017,IMCKDE,Trip Advisor,6,7.199999999999998,4.0,,0.442436095053728,1.0598321999423206
4997,IMCKDE,Trip Advisor,4,6.999999999999998,4.0,,0.442436095053728,1.0606085000326857
5024,IMCKDE,Trip Advisor,4,7.299999999999999,4.0,,0.442436095053728,1.0616780000273138
5006,IMCKDE,Trip Advisor,4,7.099999999999999,4.0,,0.442436095053728,1.0636981000425294
5015,IMCKDE,Trip Advisor,4,7.199999999999998,4.0,,0.442436095053728,1.0651052999310195
5004,IMCKDE,Trip Advisor,2,7.099999999999999,4.0,,0.442436095053728,1.0676248000236228
5003,IMCKDE,Trip Advisor,10,6.999999999999998,4.0,,0.442436095053728,1.0759609000524506
5030,IMCKDE,Trip Advisor,10,7.299999999999999,4.0,,0.442436095053728,1.0792567000025883
5634,IMCKDE,Trip Advisor,2,7.099999999999999,4.5,,0.442436095053728,1.0798872000304982
5023,IMCKDE,Trip Advisor,3,7.299999999999999,4.0,,0.442436095053728,1.0842699999921024
5639,IMCKDE,Trip Advisor,7,7.099999999999999,4.5,,0.442436095053728,1.0866869000019506
5021,IMCKDE,Trip Advisor,10,7.199999999999998,4.0,,0.442436095053728,1.0875118999974802
5014,IMCKDE,Trip Advisor,3,7.199999999999998,4.0,,0.442436095053728,1.0929369000950828
5037,IMCKDE,Trip Advisor,8,7.399999999999999,4.0,,0.442436095053728,1.1070957999909297
5636,IMCKDE,Trip Advisor,4,7.099999999999999,4.5,,0.442436095053728,1.1138161999406293
5029,IMCKDE,Trip Advisor,9,7.299999999999999,4.0,,0.442436095053728,1.130600499920547
5020,IMCKDE,Trip Advisor,9,7.199999999999998,4.0,,0.442436095053728,1.1500940000405535
5640,IMCKDE,Trip Advisor,8,7.099999999999999,4.5,,0.442436095053728,1.1585577999940142
5032,IMCKDE,Trip Advisor,3,7.399999999999999,4.0,,0.442436095053728,1.16675660002511
5012,IMCKDE,Trip Advisor,10,7.099999999999999,4.0,,0.442436095053728,1.1717282999306917
5633,IMCKDE,Trip Advisor,10,6.999999999999998,4.5,,0.442436095053728,1.1894740000134334
5001,IMCKDE,Trip Advisor,8,6.999999999999998,4.0,,0.442436095053728,1.2091890999581665
4999,IMCKDE,Trip Advisor,6,6.999999999999998,4.0,,0.442436095053728,1.2220464000711218
5629,IMCKDE,Trip Advisor,6,6.999999999999998,4.5,,0.442436095053728,1.2255526999942958
5627,IMCKDE,Trip Advisor,4,6.999999999999998,4.5,,0.442436095053728,1.2311358998995274
5018,IMCKDE,Trip Advisor,7,7.199999999999998,4.0,,0.442436095053728,1.2420831000199541
5638,IMCKDE,Trip Advisor,6,7.099999999999999,4.5,,0.442436095053728,1.2499644999625161
5009,IMCKDE,Trip Advisor,7,7.099999999999999,4.0,,0.442436095053728,1.2500376000534743
5647,IMCKDE,Trip Advisor,6,7.199999999999998,4.5,,0.442436095053728,1.2507533999159932
5637,IMCKDE,Trip Advisor,5,7.099999999999999,4.5,,0.442436095053728,1.2508486999431625
5008,IMCKDE,Trip Advisor,6,7.099999999999999,4.0,,0.442436095053728,1.2565579999936745
5650,IMCKDE,Trip Advisor,9,7.199999999999998,4.5,,0.442436095053728,1.2594153999816626
5002,IMCKDE,Trip Advisor,9,6.999999999999998,4.0,,0.442436095053728,1.268391599995084
5016,IMCKDE,Trip Advisor,5,7.199999999999998,4.0,,0.442436095053728,1.2942952000303194
5642,IMCKDE,Trip Advisor,10,7.099999999999999,4.5,,0.442436095053728,1.3051341999089345
