,Algorithm,Dataset,n_cluster,Alpha,Precision,Silhouette,Execution Time
277,Multiclusterkde,Trip Advisor,9,3.499999999999999,,0.21864427602552713,1.4157991409301758
276,Multiclusterkde,Trip Advisor,8,3.499999999999999,,0.21863839346300792,1.3091630935668945
295,Multiclusterkde,Trip Advisor,9,3.6999999999999993,,0.218529802369611,0.7288708686828613
294,Multiclusterkde,Trip Advisor,8,3.6999999999999993,,0.21852136250025722,0.701246976852417
278,Multiclusterkde,Trip Advisor,10,3.499999999999999,,0.2059302546338731,1.2899971008300781
296,Multiclusterkde,Trip Advisor,10,3.6999999999999993,,0.20583614549595006,0.8058366775512695
267,Multiclusterkde,Trip Advisor,8,3.3999999999999995,,0.1961018613917581,2.171191692352295
629,Multiclusterkde,Trip Advisor,10,7.399999999999999,,0.17853314964242673,0.46262073516845703
620,Multiclusterkde,Trip Advisor,10,7.299999999999999,,0.17853314964242673,0.8059351444244385
259,Multiclusterkde,Trip Advisor,9,3.2999999999999994,,0.1624889638253466,1.680915355682373
241,Multiclusterkde,Trip Advisor,9,3.0999999999999996,,0.1617435583893743,3.029954433441162
258,Multiclusterkde,Trip Advisor,8,3.2999999999999994,,0.16162390939417046,1.8322522640228271
240,Multiclusterkde,Trip Advisor,8,3.0999999999999996,,0.1608896474800045,3.493375539779663
301,Multiclusterkde,Trip Advisor,6,3.7999999999999994,,0.16068020731813754,0.6991500854492188
204,Multiclusterkde,Trip Advisor,8,2.6999999999999993,,0.1595545463900729,3.4085099697113037
123,Multiclusterkde,Trip Advisor,8,1.7999999999999998,,0.15937010612145924,20.495111227035522
15,Multiclusterkde,Trip Advisor,8,0.6,,0.1591021769528333,3.2347075939178467
6,Multiclusterkde,Trip Advisor,8,0.5,,0.1591021769528333,3.7309019565582275
33,Multiclusterkde,Trip Advisor,8,0.7999999999999999,,0.1591021769528333,4.0349953174591064
51,Multiclusterkde,Trip Advisor,8,0.9999999999999999,,0.1591021769528333,4.866131067276001
42,Multiclusterkde,Trip Advisor,8,0.8999999999999999,,0.1591021769528333,5.901191711425781
78,Multiclusterkde,Trip Advisor,8,1.2999999999999998,,0.1591021769528333,7.117611885070801
168,Multiclusterkde,Trip Advisor,8,2.3,,0.1591021769528333,7.559792995452881
87,Multiclusterkde,Trip Advisor,8,1.4,,0.1591021769528333,8.272485971450806
177,Multiclusterkde,Trip Advisor,8,2.3999999999999995,,0.1591021769528333,10.53259539604187
60,Multiclusterkde,Trip Advisor,8,1.0999999999999999,,0.1591021769528333,11.009652853012085
96,Multiclusterkde,Trip Advisor,8,1.4999999999999998,,0.1591021769528333,11.440046072006226
