,Algorithm,Dataset,n_cluster,Alpha,Precision,Silhouette,Execution Time
16,Multiclusterkde,Trip Advisor,581,2.0999999999999996,,0.1676864958227682,17.632818698883057
14,Multiclusterkde,Trip Advisor,624,1.8999999999999997,,0.16618271235154866,25.919644355773926
17,Multiclusterkde,Trip Advisor,571,2.1999999999999997,,0.16535549866047783,21.332263231277466
15,Multiclusterkde,Trip Advisor,556,1.9999999999999996,,0.1632753182734379,17.882450819015503
18,Multiclusterkde,Trip Advisor,350,2.3,,0.13426123666996836,7.930276393890381
13,Multiclusterkde,Trip Advisor,825,1.7999999999999998,,0.1285926680369369,33.08636474609375
19,Multiclusterkde,Trip Advisor,389,2.3999999999999995,,0.12798644546136007,18.871362686157227
25,Multiclusterkde,Trip Advisor,257,2.9999999999999996,,0.12499316086626522,7.356258869171143
12,Multiclusterkde,Trip Advisor,853,1.6999999999999997,,0.12342815497712249,35.75501799583435
20,Multiclusterkde,Trip Advisor,277,2.4999999999999996,,0.1226081827945604,15.776752948760986
21,Multiclusterkde,Trip Advisor,317,2.5999999999999996,,0.12065119110416214,13.973930358886719
23,Multiclusterkde,Trip Advisor,248,2.7999999999999994,,0.11757515209665569,7.779841899871826
9,Multiclusterkde,Trip Advisor,890,1.4,,0.11744748611424254,24.06320548057556
22,Multiclusterkde,Trip Advisor,212,2.6999999999999993,,0.11312718199329315,5.457458734512329
26,Multiclusterkde,Trip Advisor,217,3.0999999999999996,,0.11084668090739869,5.397809028625488
59,Multiclusterkde,Trip Advisor,38,6.399999999999999,,0.10910578665294006,1.189589500427246
58,Multiclusterkde,Trip Advisor,38,6.299999999999999,,0.1073097497824728,0.9345834255218506
52,Multiclusterkde,Trip Advisor,39,5.699999999999999,,0.10526382216400507,1.2009282112121582
24,Multiclusterkde,Trip Advisor,193,2.8999999999999995,,0.101778776618113,5.4528021812438965
51,Multiclusterkde,Trip Advisor,56,5.599999999999999,,0.1013454687718999,2.0164635181427
29,Multiclusterkde,Trip Advisor,168,3.3999999999999995,,0.09867922706394612,2.050968647003174
33,Multiclusterkde,Trip Advisor,62,3.7999999999999994,,0.0980936506816971,1.801201581954956
11,Multiclusterkde,Trip Advisor,921,1.5999999999999996,,0.09795073744631302,34.218749046325684
10,Multiclusterkde,Trip Advisor,923,1.4999999999999998,,0.09679256432380894,31.505250453948975
43,Multiclusterkde,Trip Advisor,63,4.799999999999999,,0.09675416038243646,1.6852903366088867
55,Multiclusterkde,Trip Advisor,63,5.999999999999999,,0.09610886808106045,2.0481741428375244
8,Multiclusterkde,Trip Advisor,928,1.2999999999999998,,0.09578157210103609,12.354505062103271
30,Multiclusterkde,Trip Advisor,102,3.499999999999999,,0.09565054803622679,1.4122686386108398
35,Multiclusterkde,Trip Advisor,66,3.999999999999999,,0.0948293355091565,1.705906629562378
47,Multiclusterkde,Trip Advisor,59,5.199999999999999,,0.0938973920566735,1.9267735481262207
46,Multiclusterkde,Trip Advisor,65,5.099999999999999,,0.09325989950689394,2.146711587905884
42,Multiclusterkde,Trip Advisor,57,4.699999999999999,,0.09299809141997503,1.5082745552062988
7,Multiclusterkde,Trip Advisor,930,1.1999999999999997,,0.09297563761357745,9.902791500091553
38,Multiclusterkde,Trip Advisor,28,4.299999999999999,,0.09280487319728548,0.7688629627227783
36,Multiclusterkde,Trip Advisor,68,4.1,,0.09261982710976105,1.7758095264434814
37,Multiclusterkde,Trip Advisor,71,4.199999999999999,,0.09239092554716787,1.8187270164489746
66,Multiclusterkde,Trip Advisor,63,7.099999999999999,,0.09212621163613179,1.8979573249816895
65,Multiclusterkde,Trip Advisor,61,6.999999999999998,,0.09184718005428374,1.73233962059021
53,Multiclusterkde,Trip Advisor,61,5.799999999999999,,0.09175497819366193,1.9410653114318848
6,Multiclusterkde,Trip Advisor,931,1.0999999999999999,,0.09147488896222389,10.51272988319397
27,Multiclusterkde,Trip Advisor,98,3.1999999999999993,,0.08866817906357659,3.285489320755005
28,Multiclusterkde,Trip Advisor,153,3.2999999999999994,,0.08844758562250969,5.5524373054504395
45,Multiclusterkde,Trip Advisor,57,4.999999999999999,,0.08755068311765772,1.5157458782196045
34,Multiclusterkde,Trip Advisor,86,3.8999999999999995,,0.0873516557652877,2.202812671661377
31,Multiclusterkde,Trip Advisor,120,3.599999999999999,,0.08627870800526784,6.87827730178833
57,Multiclusterkde,Trip Advisor,48,6.199999999999998,,0.08576785524697099,1.0510764122009277
48,Multiclusterkde,Trip Advisor,50,5.299999999999999,,0.08550835575397282,1.522895336151123
44,Multiclusterkde,Trip Advisor,54,4.899999999999999,,0.08506474656766722,1.0973336696624756
54,Multiclusterkde,Trip Advisor,71,5.899999999999999,,0.08418478647924617,1.791632890701294
61,Multiclusterkde,Trip Advisor,48,6.599999999999999,,0.08346986155582486,1.2878339290618896
67,Multiclusterkde,Trip Advisor,58,7.199999999999998,,0.08329660912914467,1.5306966304779053
5,Multiclusterkde,Trip Advisor,936,0.9999999999999999,,0.0830652415872413,5.992750406265259
63,Multiclusterkde,Trip Advisor,84,6.799999999999999,,0.08265144951986947,3.4724905490875244
4,Multiclusterkde,Trip Advisor,937,0.8999999999999999,,0.08142136399003337,5.320670127868652
60,Multiclusterkde,Trip Advisor,61,6.499999999999998,,0.08036697896671754,1.2929050922393799
1,Multiclusterkde,Trip Advisor,940,0.6,,0.07755101866551813,3.1615002155303955
2,Multiclusterkde,Trip Advisor,940,0.7,,0.07755101866551813,3.3872883319854736
0,Multiclusterkde,Trip Advisor,940,0.5,,0.07755101866551813,4.371238470077515
3,Multiclusterkde,Trip Advisor,940,0.7999999999999999,,0.07755101866551813,4.940012693405151
50,Multiclusterkde,Trip Advisor,42,5.499999999999999,,0.07687491358229848,1.7192976474761963
40,Multiclusterkde,Trip Advisor,67,4.499999999999999,,0.07522373888916367,1.7099831104278564
56,Multiclusterkde,Trip Advisor,90,6.099999999999999,,0.07511971730369907,2.7254602909088135
41,Multiclusterkde,Trip Advisor,60,4.599999999999999,,0.07484193194121273,1.507295846939087
68,Multiclusterkde,Trip Advisor,57,7.299999999999999,,0.07475986493257508,2.3655478954315186
32,Multiclusterkde,Trip Advisor,69,3.6999999999999993,,0.0744850977697738,2.7272140979766846
69,Multiclusterkde,Trip Advisor,31,7.399999999999999,,0.07361322713277715,1.268578052520752
64,Multiclusterkde,Trip Advisor,56,6.899999999999999,,0.07323096506331375,1.6198575496673584
62,Multiclusterkde,Trip Advisor,58,6.699999999999998,,0.0719346789080398,1.455672264099121
49,Multiclusterkde,Trip Advisor,67,5.399999999999999,,0.07129957517320687,1.9128639698028564
39,Multiclusterkde,Trip Advisor,67,4.399999999999999,,0.06793469475814298,1.669919490814209
