Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
Algoritmo Proposto,Trip Advisor,2,0.5,0.5,,0.2842661688914445,0.15915489196777344
Algoritmo Proposto,Trip Advisor,3,0.5,0.5,,0.2512643030497773,0.14582276344299316
Algoritmo Proposto,Trip Advisor,4,0.5,0.5,,0.13758293262566895,0.3230125904083252
Algoritmo Proposto,Trip Advisor,5,0.5,0.5,,0.1254595500203733,0.29814791679382324
Algoritmo Proposto,Trip Advisor,2,0.6,0.5,,0.2842661688914445,0.0937490463256836
Algoritmo Proposto,Trip Advisor,3,0.6,0.5,,0.2512643030497773,0.1329665184020996
Algoritmo Proposto,Trip Advisor,4,0.6,0.5,,0.13758293262566895,0.15094614028930664
Algoritmo Proposto,Trip Advisor,5,0.6,0.5,,0.1254595500203733,0.20316576957702637
Algoritmo Proposto,Trip Advisor,2,0.7,0.5,,0.2842661688914445,0.07407927513122559
Algoritmo Proposto,Trip Advisor,3,0.7,0.5,,0.2512643030497773,0.09497237205505371
Algoritmo Proposto,Trip Advisor,4,0.7,0.5,,0.13758293262566895,0.16716384887695312
Algoritmo Proposto,Trip Advisor,5,0.7,0.5,,0.1254595500203733,0.16539525985717773
Algoritmo Proposto,Trip Advisor,2,0.7999999999999999,0.5,,0.2842661688914445,0.06863617897033691
Algoritmo Proposto,Trip Advisor,3,0.7999999999999999,0.5,,0.2512643030497773,0.08230161666870117
Algoritmo Proposto,Trip Advisor,4,0.7999999999999999,0.5,,0.13758293262566895,0.1163330078125
Algoritmo Proposto,Trip Advisor,5,0.7999999999999999,0.5,,0.1254595500203733,0.14830636978149414
Algoritmo Proposto,Trip Advisor,2,0.8999999999999999,0.5,,0.2842661688914445,0.056801795959472656
Algoritmo Proposto,Trip Advisor,3,0.8999999999999999,0.5,,0.2512643030497773,0.10660386085510254
Algoritmo Proposto,Trip Advisor,4,0.8999999999999999,0.5,,0.13758293262566895,0.12732315063476562
Algoritmo Proposto,Trip Advisor,5,0.8999999999999999,0.5,,0.1254595500203733,0.1663818359375
Algoritmo Proposto,Trip Advisor,2,0.9999999999999999,0.5,,0.2842661688914445,0.06563591957092285
Algoritmo Proposto,Trip Advisor,3,0.9999999999999999,0.5,,0.2512643030497773,0.10111713409423828
